cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,    y-coordinate,pressure-coefficient
         1,-1.207718253E+00, 2.458217144E+00, 9.481587410E-01, 2.462823153E+00,-1.125836279E-03
         2,-7.229991555E-01, 3.228259325E+00, 7.790668011E-01, 3.235610723E+00,-1.935852692E-03
         3,-1.045245051E+00, 1.792751670E+00, 1.153757453E+00, 1.792663336E+00, 2.342713065E-02
         4,-1.225698113E+00, 2.283914566E+00, 1.021404386E+00, 2.280458689E+00, 1.845483552E-03
         5,-1.765934348E+00, 6.425386071E-01, 3.183415830E-01, 6.447167397E-01, 4.307160899E-02
         6,-1.140021324E+00, 9.982708097E-01, 1.312817931E+00, 9.925711751E-01, 1.769107953E-02
         7,-9.897348881E-01, 2.170758247E+00, 1.066674352E+00, 2.179089546E+00, 1.214674581E-02
         8,-1.293827891E+00, 2.054065228E+00, 1.085810184E+00, 2.054821491E+00, 1.912605716E-03
         9,-1.001958728E+00, 2.405606985E+00, 1.005173683E+00, 2.400183916E+00, 6.810430437E-03
        10,-1.112074494E+00, 1.787480474E+00, 1.153655529E+00, 1.788942575E+00, 2.248692140E-02
        11,-9.627162814E-01, 2.201820135E+00, 1.060894608E+00, 2.202385902E+00, 1.336455531E-02
        12,-1.189382434E+00, 1.782803893E+00, 1.158349991E+00, 1.783271790E+00, 1.944273151E-02
        13,-1.073040962E+00, 1.765365005E+00, 1.158716202E+00, 1.772123218E+00, 2.253124677E-02
        14,-1.185150504E+00, 2.342935324E+00, 1.011172295E+00, 2.343553543E+00, 1.484709326E-03
        15,-8.767639995E-01, 2.785386801E+00, 9.038652778E-01, 2.789912701E+00, 2.378501464E-03
        16,-9.467155337E-01, 3.084917784E+00, 7.741957307E-01, 3.095657825E+00,-4.794833716E-03
        17,-1.136324644E+00, 2.543727160E+00, 9.492893219E-01, 2.553203344E+00,-1.050802181E-03
        18,-1.776646018E+00, 5.674648285E-01, 2.561568916E-01, 5.705453753E-01, 5.072704330E-02
        19,-1.232631922E+00, 1.399007320E+00, 1.238853574E+00, 1.407072902E+00, 2.096825838E-02
        20,-1.768930912E+00, 6.118412018E-01, 3.033826947E-01, 6.073530316E-01, 4.891617596E-02
        21,-1.220736623E+00, 1.684362769E+00, 1.181509733E+00, 1.689722538E+00, 2.050147019E-02
        22,-6.175488830E-01, 3.764292479E+00, 5.303546786E-01, 3.765398264E+00, 3.133204009E-04
        23,-1.237184048E+00, 2.343065262E+00, 9.894099832E-01, 2.345705271E+00,-2.200699644E-03
        24,-7.919114232E-01, 3.413516045E+00, 6.653390527E-01, 3.418502331E+00,-5.581922596E-04
        25,-7.911584973E-01, 3.239583731E+00, 7.550638318E-01, 3.245375156E+00,-3.909504507E-03
        26,-1.122302413E+00, 6.043787003E-01, 1.395811915E+00, 6.083529592E-01, 3.108427487E-02
        27,-1.198613167E+00, 1.206373215E+00, 1.271649837E+00, 1.204054713E+00, 2.008819766E-02
        28,-1.059979796E+00, 1.542753816E+00, 1.208913207E+00, 1.552317858E+00, 1.816475764E-02
        29,-1.758558393E+00, 7.006559372E-01, 3.324263990E-01, 7.017300725E-01, 3.140464425E-02
        30,-9.600076079E-01, 2.017271042E+00, 1.109956264E+00, 2.020190716E+00, 1.899363659E-02
        31,-9.619469643E-01, 2.472144842E+00, 9.888808131E-01, 2.473089933E+00, 6.501362659E-03
        32,-1.173039436E+00, 1.681206107E+00, 1.178786755E+00, 1.690950751E+00, 2.374669537E-02
        33,-1.171839595E+00, 1.499977112E+00, 1.214962363E+00, 1.511916637E+00, 2.534434013E-02
        34,-1.230502486E+00, 1.638480186E+00, 1.191688418E+00, 1.634908557E+00, 2.212794870E-02
        35,-1.263954520E+00, 1.617102623E+00, 1.199039340E+00, 1.618875384E+00, 1.778505556E-02
        36,-7.885438800E-01, 3.200193167E+00, 7.718510628E-01, 3.198960781E+00,-2.044506371E-03
        37,-9.594494700E-01, 2.547187090E+00, 9.679095149E-01, 2.552696943E+00, 4.662537482E-03
        38,-7.521643043E-01, 3.004806280E+00, 8.554661870E-01, 3.009330511E+00, 1.491307863E-03
        39,-6.803810000E-01, 3.655677557E+00, 5.705909729E-01, 3.668060064E+00,-1.856360701E-03
        40,-1.126098990E+00, 1.539877892E+00, 1.205778003E+00, 1.541842103E+00, 2.633938566E-02
        41,-1.020579457E+00, 2.762354136E+00, 8.946482539E-01, 2.760845184E+00,-1.474659308E-03
        42,-1.158673882E+00, 1.632619739E+00, 1.187830091E+00, 1.634373188E+00, 2.695803717E-02
        43,-9.872706532E-01, 2.633098841E+00, 9.412162900E-01, 2.630759239E+00, 2.953381278E-03
